code,eia_name,eia_1980,eia_1981,eia_1982,eia_1983,eia_1984,eia_1985,eia_1986,eia_1987,eia_1988,eia_1989,eia_1990,eia_1991,eia_1992,eia_1993,eia_1994,eia_1995,eia_1996,eia_1997,eia_1998,eia_1999,eia_2000,eia_2001,eia_2002,eia_2003,eia_2004,eia_2005
JOR,Jordan,1.002,1.237,1.512,1.803,2.129,2.345,2.778,2.5380000000000003,2.505,3.2290005,3.4270009999999997,3.5010009999999996,4.159001,4.478001000000001,4.772,5.281,5.697000000000001,5.889,6.341,6.657,6.938,7.099,7.6419999999999995,7.511,8.426,9.074
SAU,Saudi Arabia,20.452,26.95,32.912,35.19,40.069,44.311,47.646,50.649,57.229,61.568,64.899,69.212,74.009,82.183,91.019,97.846,101.114,107.546,114.624,112.8,118.62,125.653,133.233,143.82,150.283,165.553
SYR,Syria,3.729,4.415,5.707,7.425,8.350999999999999,8.933,8.761,8.418,7.308,8.029,8.306000000000001,8.231,7.479,8.143,10.405,14.508,16.369,17.195,20.024,21.583000000000002,23.866,25.28,26.507,27.911,30.365,33.012
ARE,United Arab Emirates,5.897,5.815,8.349,9.533,10.215,11.454,12.046,12.839,13.95,14.675,16.056,16.189,16.412,16.523,17.738,23.483,24.978,26.756,31.388,34.899,37.547,40.582,43.791,46.568,49.272,57.058
YEM,Yemen,0.471,0.54,0.647,0.721,0.818,0.855,1.094,1.183,1.565,1.579,1.563,1.693,1.836,1.928,2.029,2.227,2.194,2.404,2.357,2.571,3.208,3.424,3.543,3.85,4.077,4.456
DZA,Algeria,6.683,7.65,8.824,9.615,10.537,11.568999999999999,12.214,13.014,14.08,14.449,15.145,16.319,17.198999999999998,18.267,18.703000000000003,18.09,19.124,19.739,21.448,23.282,23.89,25.031000000000002,25.992,27.81,29.386000000000003,31.907
AGO,Angola,0.905,0.906,0.995,1.028,1.028,1.028,1.088,1.097,1.097,1.104,1.169,1.166,1.283,1.332,1.342,1.347,1.377,1.331,1.52,1.3,1.404,1.5909999999999997,1.7169999999999999,1.9380000000000002,2.183,2.585
BEN,Benin,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.019,0.022,0.023,0.024,0.048,0.029,0.0487,0.0517,0.0597,0.0677,0.079,0.062,0.059000000000000004,0.075,0.076,0.105
BFA,Burkina Faso,0.098,0.108,0.115,0.117,0.113,0.115,0.122,0.133,0.143,0.153,0.17400000000000002,0.18200000000000002,0.19,0.205,0.20600000000000002,0.232,0.263,0.28200000000000003,0.312,0.367,0.318,0.327,0.36492,0.444662,0.47324900000000003,0.516225
BDI,Burundi,0.003,0.004,0.004,0.025,0.041,0.047,0.062,0.095,0.104,0.103,0.109,0.112,0.106,0.11,0.116,0.11900000000000001,0.11800000000000001,0.121,0.111,0.099,0.1,0.116,0.128,0.131,0.134,0.137
